"source","date","error_margin","Republicain_cand","Democrate_cand","Libertarien_cand","Vert_cand","Autres_cand","Abstention_cand","Indécis_cand","lead"
"Ipsos/Reuters","Oct 31","37","45","52","","","3","","","7"
"YouGov/Economist","Oct 31","","43","53","","","2","0","2","10"
"Research Co.","Oct 31","30","42","50","1","1","1","","5","8"
"IBD/TIPP","Oct 29","32","46","50","2","1","1","","","4"
"IBD/TIPP","Oct 29","32","46","51","","","","","","5"
"USC Dornsife","Oct 20","","42","54","","","","","","12"
"USC Dornsife","Oct 20","","43","54","","","","","","11"
"Swayable","Nov 1","17","46","52","2","0","","","","6"
"John Zogby Strategies/EMI Research","Nov 1","32","43","48","4","2","2","","2","5"
"John Zogby Strategies/EMI Research","Nov 1","32","45","52","","","","","3","7"
"Redfield & Wilton Strategies","Oct 30","","41","53","1","1","","","","12"
"SurveyMonkey/Axios","Oct 30","1","47","52","","","","","","5"
"YouGov/Yahoo News","Oct 30","","43","53","","","2","0","2","10"
"Change Research/CNBC","Oct 29","226","42","52","2","1","2","","1","10"
"Qriously/Brandwatch","Oct 29","","41","52","2","1","","","","11"
"Léger","Oct 29","31","42","50","2","1","1","0","4","8"
"Quinnipiac University","Oct 28","25","39","50","","","2","","9","11"
"Pulse Opinion Research/Rasmussen Reports","Oct 28","25","47","48","","","3","","2","1"
"AYTM/Aspiration","Oct 30–31","37","39","48","","","","","","9"
"SurveyMonkey/Axios","Oct 29–31","","46","52","","","","","","6"
"Morning Consult","Oct 29–31","1","44","52","","","2","","3","8"
"Swayable","Oct 29–31","24","46","52","2","0","","","","6"
"RMG Research/Just the News","Oct 29–31","28","44","51","1","1","2","","1","7"
"RMG Research/Just the News","Oct 29–31","28","42","53","1","1","2","","1","11"
"RMG Research/Just the News","Oct 29–31","28","45","50","1","1","2","","1","5"
"SurveyUSA/Cheddar","Oct 29–31","32","44","52","","","3","","2","8"
"NBC/WSJ","Oct 29–31","34","42","52","","","3","","3","10"
"IBD/TIPP","Oct 27–31","32","45","49","3","1","0","","0","4"
"IBD/TIPP","Oct 27–31","32","45","50","","","","","","5"
"Data for Progress","Oct 28–29","26","44","54","1","1","","","","10"
"Gravis Marketing","Oct 27–29","27","44","50","","","","","6","6"
"Morning Consult","Oct 27–29","1","43","52","","","2","","3","9"
"Fox News","Oct 27–29","25","44","52","","","2","0","2","8"
"Opinium/The Guardian","Oct 26–29","","41","55","","","2","","2","14"
"Swayable","Oct 27–28","29","46","53","1","1","","","","7"
"Harvard-Harris","Oct 27–28","","46","54","","","","","","8"
